expression,category,category_2,common,sg,pl,mass,finite,bare,pres,past,ing,en,3sg,arg_1,arg_2,arg_3,root,adjs,restrictor_DE,scope_DE,NPI,animate,occupation,clothing,appearance,physical,conceptual,breakable,start_with_vowel,frontable,gender,irrpl,document,,,,,,
would,(S\NP)/(S[bare]\NP),modal,,,,,,,0,,,,,,bare=1,,,,,,,,,,,,,,,0,,,,,,,,,
could,(S\NP)/(S[bare]\NP),modal,,,,,,,0,,,,,,bare=1,,,,,,,,,,,,,,,0,,,,,,,,,
should,(S\NP)/(S[bare]\NP),modal,,,,,,,1,,,,,,bare=1,,,,,,,,,,,,,,,1,,,,,,,,,
will,(S\NP)/(S[bare]\NP),modal,,,,,,,1,,,,,,bare=1,,,,,,,,,,,,,,,1,,,,,,,,,
can,(S\NP)/(S[bare]\NP),modal,,,,,,,1,,,,,,bare=1,,,,,,,,,,,,,,,1,,,,,,,,,
do,(S\NP)/(S[bare]\NP),aux,,,,,1,0,1,0,0,0,0,sg=0,bare=1,,,,,,,,,,,,,,,1,,,,,,,,,
does,(S\NP)/(S[bare]\NP),aux,,,,,1,0,1,0,0,0,1,sg=1,bare=1,,,,,,,,,,,,,,,1,,,,,,,,,
did,(S\NP)/(S[bare]\NP),aux,,,,,1,0,0,1,0,0,0,,bare=1,,,,,,,,,,,,,,,1,,,,,,,,,
is,(S\NP)/(S[bare]\NP),aux,,,,,1,0,1,0,0,0,1,sg=1,ing=1,,,,,,,,,,,,,,,1,,,,,,,,,
are,(S\NP)/(S[bare]\NP),aux,,,,,1,0,1,0,0,0,1,pl=1,ing=1,,,,,,,,,,,,,,,1,,,,,,,,,
was,(S\NP)/(S[bare]\NP),aux,,,,,1,0,0,1,0,0,0,sg=1,ing=1,,,,,,,,,,,,,,,1,,,,,,,,,
were,(S\NP)/(S[bare]\NP),aux,,,,,1,0,0,1,0,0,0,pl=1,ing=1,,,,,,,,,,,,,,,1,,,,,,,,,
has,(S\NP)/(S[bare]\NP),aux,,,,,1,0,1,0,0,0,1,sg=1,en=1,,,,,,,,,,,,,,,1,,,,,,,,,
have,(S\NP)/(S[bare]\NP),aux,,,,,1,0,1,0,0,0,1,pl=1,en=1,,,,,,,,,,,,,,,1,,,,,,,,,
had,(S\NP)/(S[bare]\NP),aux,,,,,1,0,0,1,0,0,0,,en=1,,,,,,,,,,,,,,,1,,,,,,,,,
,(S\NP)/(S[bare]\NP),aux,,,,,1,0,0,0,0,0,0,,finite=1,,,,,,,,,,,,,,,0,,,,,,,,,
big,N/N,Adj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small,N/N,Adj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,N/N,Adj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old,N/N,Adj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
everyone,S/(S\NP),DP,,,,,,,,,,,,,,,,,1,0,,1,,,,,,,,,,,,,,,,,
no one,S/(S\NP),DP,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,
someone,S/(S\NP),DP,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,
every,(S/(S\NP))/N,D,1,,,,,,,,,,,sg=1^mass=0,,,,,1,0,,,,,,,,,,,,,,,,,,,
all,(S/(S\NP))/N,D,1,,,,,,,,,,,pl=1,,,,,1,0,,,,,,,,,,,,,,,,,,,
no,(S/(S\NP))/N,D,0,,,,,,,,,,,sg=1;pl=1;mass=1,,,,,1,1,,,,,,,,,,,,,,,,,,,
some,(S/(S\NP))/N,D,1,,,,,,,,,,,sg=1;pl=1;mass=1,,,,,0,0,,,,,,,,,,,,,,,,,,,
few,(S/(S\NP))/N,D,0,,,,,,,,,,,pl=1,,,,,1,1,,,,,,,,,,,,,,,,,,,
fewer than three,(S/(S\NP))/N,D,0,,,,,,,,,,,pl=1,,,,,1,1,,,,,,,,,,,,,,,,,,,
more than three,(S/(S\NP))/N,D,0,,,,,,,,,,,pl=1,,,,,0,0,,,,,,,,,,,,,,,,,,,
many,(S/(S\NP))/N,D,1,,,,,,,,,,,pl=1,,,,,0,0,,,,,,,,,,,,,,,,,,,
a lot of,(S/(S\NP))/N,D,1,,,,,,,,,,,pl=1,,,,,0,0,,,,,,,,,,,,,,,,,,,
any,(S/(S\NP))/N,D,0,,,,,,,,,,,pl=1;mass=1,,,,,1,0,1,,,,,,,,,,,,,,,,,,
the,(S/(S\NP))/N,D,1,,,,,,,,,,,pl=1;sg=1;mass=1,,,,,0,0,,,,,,,,,,,,,,,,,,,
this,(S/(S\NP))/N,D,1,,,,,,,,,,,sg=1;mass=1,,,,,,,,,,,,,,,,,,,,,,,,,
that,(S/(S\NP))/N,D,1,,,,,,,,,,,sg=1;mass=1,,,,,,,,,,,,,,,,,,,,,,,,,
these,(S/(S\NP))/N,D,1,,,,,,,,,,,pl=1,,,,,,,,,,,,,,,,,,,,,,,,,
those,,D,1,,,,,,,,,,,pl=1,,,,,,,,,,,,,,,,,,,,,,,,,
a,(S/(S\NP))/N,D,1,,,,,,,,,,,sg=1^mass=0^start_with_vowel=0,,,,,0,0,,,,,,,,,,,,,,,,,,,
an,(S/(S\NP))/N,D,1,,,,,,,,,,,sg=1^mass=0^start_with_vowel=1,,,,,0,0,,,,,,,,,,,,,,,,,,,
,(S/(S\NP))/N,D,1,,,,,,,,,,,pl=1,,,,,0,0,,,,,,,,,,,,,,,,,,,
who,,rel,,,,,,,,,,,,animate=1,,,,,,,,,,,,,,,,,,,,,,,,,
that,,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herself,,refl,,,,,,,,,,,,sg=1^animate=1^gender=f;sg=1^animate=1^gender=n ,,,,,,,,,,,,,,,,,,,,,,,,,
himself,,refl,,,,,,,,,,,,sg=1^animate=1^gender=m;sg=1^animate=1^gender=n,,,,,,,,,,,,,,,,,,,,,,,,,
themselves,,refl,,,,,,,,,,,,pl=1^animate=1,,,,,,,,,,,,,,,,,,,,,,,,,
itself,,refl,,,,,,,,,,,,sg=1^animate=0^gender=f,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
